Employee Code,Total Working Days,Total Full Days,Half Days Due To Duration,Half Days Due To PunchMiss,Half Days Due To Lates,Total Half Days,Total Lates,Total Absent,Total Punch Missed,Total OT Days,Total Half OT Days,Total OT Hours
1901,22,0,0,0,0,0,0,26,0,0,0,0.00
1993,22,0,0,0,0,0,0,26,0,0,0,0.00
1999,22,11,0,0,0,0,0,1,0,7,0,0.00
1189,22,11,2,0,0,2,0,1,0,8,0,0.00
1251,22,8,1,0,1,2,1,8,3,5,2,0.00
5275,22,4,3,0,2,5,3,9,0,5,0,0.00
5335,22,12,0,0,0,0,2,0,0,7,0,0.00
5355,22,10,0,0,0,0,0,4,0,5,0,0.00
5370,22,11,1,0,0,1,2,0,0,7,0,0.00
1150,22,0,0,0,0,0,0,26,0,0,0,0.00
1626,22,7,1,0,0,1,1,9,1,6,1,0.00
1647,22,0,0,0,0,0,0,26,0,0,0,0.00
1676,22,11,0,0,0,0,2,0,1,7,0,0.00
1696,22,11,2,0,0,2,2,4,1,7,0,0.00
1801,22,12,0,0,1,1,4,0,0,7,0,0.00
1884,22,10,0,0,1,1,3,1,0,7,0,0.00
1951,22,12,0,0,1,1,3,0,1,6,1,0.00
2020,22,0,0,0,0,0,0,26,0,0,0,0.00
2003,22,10,1,0,0,1,1,6,0,6,0,0.00
5329,22,12,0,0,0,0,0,0,0,7,0,0.00
1257,22,12,1,0,0,1,2,1,0,7,0,0.00
1635,22,0,0,0,0,0,0,26,0,0,0,0.00
5303,22,12,0,0,0,0,1,0,0,7,0,0.00
1303,22,12,0,0,0,0,0,0,0,7,0,0.00
1804,22,12,0,0,0,0,2,5,1,5,1,0.00
5158,22,11,0,0,0,0,1,1,0,7,0,0.00
5159,22,12,0,0,0,0,2,0,0,7,0,0.00
5150,22,15,0,0,0,0,0,0,1,6,1,0.00
5328,22,0,0,0,0,0,0,26,0,0,0,0.00
1013,22,11,1,0,1,2,1,2,0,7,0,0.00
1256,22,8,1,0,0,1,2,10,2,5,0,0.00
5292,22,12,1,0,2,3,5,0,0,7,0,0.00
1983,22,0,0,0,0,0,0,26,0,0,0,0.00
5137,22,8,0,0,1,1,2,9,1,7,0,0.00
5157,22,10,0,0,0,0,3,4,2,7,0,0.00
5246,22,12,0,0,0,0,1,0,0,7,0,0.00
2012,22,13,0,0,0,0,0,0,1,7,1,0.00
1283,22,8,0,0,0,0,0,9,4,4,1,0.00
1596,22,8,0,0,0,0,2,10,0,7,0,0.00
1599,22,12,0,0,0,0,2,0,1,6,1,0.00
1602,22,10,0,0,1,1,4,1,0,6,1,0.00
1655,22,10,0,0,0,0,1,2,1,6,0,0.00
1659,22,8,1,0,2,3,1,1,0,6,1,0.00
1691,22,12,0,0,0,0,1,1,0,6,0,0.00
1741,22,9,0,0,2,2,2,7,0,5,0,0.00
1823,22,10,1,0,0,1,4,2,0,6,0,0.00
1826,22,8,1,0,0,1,0,12,0,6,0,0.00
5228,22,11,0,0,0,0,3,1,0,7,0,0.00
5376,22,11,0,0,0,0,0,8,0,5,0,0.00
1264,22,9,0,0,0,0,5,3,3,6,0,0.00
1681,22,10,0,0,0,0,1,4,2,7,0,0.00
5353,22,3,3,0,3,6,7,12,1,4,1,0.00
5358,22,12,0,0,0,0,0,0,0,7,0,0.00
1153,22,13,2,0,1,3,3,3,0,6,0,0.00
1154,22,11,1,0,4,5,2,3,0,6,0,0.00
1155,22,11,0,0,8,8,0,1,2,7,1,0.00
1161,22,14,3,0,0,3,0,0,1,6,1,0.00
1266,22,10,7,0,0,7,4,0,0,7,1,0.00
1412,22,11,0,0,0,0,0,1,0,7,0,0.00
1780,22,4,2,0,0,2,1,14,2,4,0,0.00
1846,22,11,1,0,0,1,4,1,0,7,0,0.00
1905,22,12,1,0,0,1,3,0,1,6,1,0.00
1956,22,11,2,0,1,3,5,2,0,7,0,0.00
1981,22,13,1,0,2,3,2,3,0,5,0,0.00
5134,22,11,2,1,0,3,2,1,1,8,0,0.00
5146,22,12,0,0,2,2,2,5,2,6,2,0.00
1671,22,7,0,0,0,0,0,8,1,5,0,0.00
2010,22,9,0,0,1,1,0,1,1,7,0,0.00
5217,22,12,0,0,0,0,0,2,0,5,0,0.00
5320,22,5,2,0,0,2,3,13,2,4,1,0.00
5373,22,10,0,1,0,1,0,4,4,6,1,0.00
1942,22,0,0,0,0,0,0,26,0,0,0,0.00
2019,22,9,1,0,1,2,5,8,2,5,1,0.00
1223,22,9,0,0,5,5,4,2,0,8,0,0.00
1862,22,12,2,0,0,2,2,3,0,6,0,0.00
1863,22,8,4,0,0,4,0,7,0,6,0,0.00
1865,22,11,1,0,0,1,2,1,0,6,0,0.00
1867,22,2,0,0,8,8,1,5,0,0,6,0.00
1941,22,10,4,0,0,4,0,3,0,6,0,0.00
1948,22,0,0,0,0,0,0,26,0,0,0,0.00
1949,22,0,0,0,0,0,0,26,0,0,0,0.00
1953,22,0,0,0,0,0,0,26,0,0,0,0.00
1954,22,0,0,0,0,0,0,26,0,0,0,0.00
1957,22,3,1,0,5,6,2,11,2,3,2,0.00
1961,22,7,0,0,0,0,1,9,5,5,0,0.00
1405,22,11,2,0,1,3,0,3,0,6,0,0.00
1269,22,12,2,0,7,9,2,0,0,6,2,0.00
1313,22,11,3,0,0,3,0,1,0,7,0,0.00
1601,22,2,0,0,0,0,1,24,0,0,0,0.00
1786,22,8,0,0,0,0,0,8,4,3,2,0.00
5160,22,1,0,0,0,0,0,25,0,0,0,0.00
5149,22,11,1,0,0,1,3,1,0,6,1,0.00
5151,22,0,0,0,0,0,0,26,0,0,0,0.00
1002,22,5,1,0,0,1,0,13,2,4,0,0.00
1199,22,12,0,2,0,2,0,0,2,7,0,0.00
